prev_log,curr_log,next_log,label
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Kill disengaged,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-10/09_20_09.ulg,Opened full log file: /fs/microsd/log/2025-08-10/09_20_09.ulg,0
"closed logfile, bytes written: 826500",Preflight Fail: Flight termination active,Kill disengaged,0
Preflight Fail: Flight termination active,Kill disengaged,Armed by RC (switch),0
Preflight Fail: Kill switch engaged,Preflight Fail: Flight termination active,Preflight Fail: Kill switch engaged,0
Allocated DMA UP Timer Index 0,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 921600B",Starting CDC/ACM autostart,0
"Failed to init INA228 on bus 1, but will try again periodically.","Failed to init INA238 on bus 1, but will try again periodically.","Failed to init INA238 on bus 2, but will try again periodically.",0
GCS connection regained,exiting channel 2,Armed by RC switch,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-10/09_29_31.ulg,Opened full log file: /fs/microsd/log/2025-08-10/09_29_31.ulg,0
Takeoff detected,Low battery,Disarmed by RC switch,0
"Failed to init INA238 on bus 2, but will try again periodically.",ms5611: no instance started (no device on bus?),Already running on bus 1,0
Preflight Fail: Kill switch engaged,u-blox firmware version: SPG 4.04,u-blox protocol version: 32.01,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-10/03_01_28.ulg,Opened full log file: /fs/microsd/log/2025-08-10/03_01_28.ulg,0
ms5611: no instance started (no device on bus?),Already running on bus 1,"no gyro selected, using sensor_gyro_fifo:0 3407898",0
Preflight Fail: Kill switch engaged,partner IP: 10.41.10.1,Armed by RC (switch),0
ACC 0 (4259850) offset committed: [-0.333 0.181 0.015]->[-0.388 0.093 -0.001]),"0 (396321) EST:0 offset: [0.242, 0.340, -0.233]->[0.244, 0.351, -0.233] (full [0.318, 0.718, -0.1","closed logfile, bytes written: 625646",0
"closed logfile, bytes written: 307705",Armed by RC,Start file log (type: full),0
Arming denied: Resolve system health failures first,Preflight Fail: Yaw estimate error,Armed by RC,0
Mixer: /etc/mixers/nuaa_quad_tiltrotor.main.mix on /dev/pwm_output0,Mixer: /etc/mixers/nuaa_quad_tiltrotor.aux.mix on /dev/pwm_output1,"instance: 0, max rate: 100, default: 50, alt: 50",0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-09/03_21_56.ulg,Opened full log file: /fs/microsd/log/2025-08-09/03_21_56.ulg,0
Disarmed by RC switch,Critical battery,"closed logfile, bytes written: 615369",0
exiting channel 2,Armed by RC switch,Start file log (type: full),0
GCS connection regained,Setting system clock from SYSTEM_TIME sent by 255/190,exiting channel 2,0
Start file log (type: full),[logger] /fs/microsd/log/2025-08-10/09_10_08.ulg,Opened full log file: /fs/microsd/log/2025-08-10/09_10_08.ulg,0
Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2),"mode: Config, data rate: 100000 B/s on /dev/ttyACM0 @ 2000000B",GCS connection regained,0
ist8310: no instance started (no device on bus?),Preflight Fail: No CPU and RAM load information,Preflight Fail: ekf2 missing data,0
Preflight Fail: No CPU and RAM load information,Preflight Fail: ekf2 missing data,Preflight Fail: Found 0 compass (required: 1),0
and broadcast IP: 192.168.0.255,RTT too high for timesync: 367 ms,Armed by external command,0
importing from '/fs/mtd_params',"BSON document size 3192 bytes, decoded 3192 bytes (INT32:65, FLOAT:87)",selected parameter backup file /fs/microsd/parameters_backup.bson,0
Already running on bus 1,Arm stick gesture disabled if arm switch in use,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B",0
