label,log_text
1,selected parameter backup file /fs/microsd/parameters_backup.bson
3,Parameter RC_INPUT_PROTO not found.
1,data manager file '/fs/microsd/dataman' size is 68528 bytes
2,"no gyro selected, using sensor_gyro_fifo:0 6684690"
2,Using non-standard baudrate: 420000
1,Crsf serial opened sucessfully
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
1,"mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B"
1,Starting CDC/ACM autostart
1,logger started (mode=all)
1,"Node ID 1, bitrate 1000000"
2,Preflight Fail: height estimate not stable
2,Preflight Fail: height estimate error
2,Preflight Fail: height estimate not stable
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/sess100/log100.ulg
1,Opened full log file: /fs/microsd/log/sess100/log100.ulg
1,selected parameter backup file /fs/microsd/parameters_backup.bson
3,Parameter RC_INPUT_PROTO not found.
1,data manager file '/fs/microsd/dataman' size is 68528 bytes
2,"no gyro selected, using sensor_gyro_fifo:0 6684690"
2,Using non-standard baudrate: 420000
1,Crsf serial opened sucessfully
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS0 @ 115200B"
1,"mode: Normal, data rate: 5760 B/s on /dev/ttyS7 @ 115200B"
1,Starting CDC/ACM autostart
1,logger started (mode=all)
1,"Node ID 1, bitrate 1000000"
2,Preflight Fail: height estimate not stable
2,Preflight Fail: height estimate error
2,Preflight Fail: height estimate not stable
2,Preflight Fail: height estimate error
2,Preflight Fail: height estimate not stable
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/sess101/log100.ulg
1,Opened full log file: /fs/microsd/log/sess101/log100.ulg
1,Disarmed by RC (switch)
1,"closed logfile, bytes written: 222754"
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/sess101/log101.ulg
1,Opened full log file: /fs/microsd/log/sess101/log101.ulg
1,Disarmed by RC (switch)
1,"closed logfile, bytes written: 214284"
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/sess101/log102.ulg
1,Opened full log file: /fs/microsd/log/sess101/log102.ulg
1,Disarmed by RC (switch)
1,Armed by RC (switch)
1,Start file log (type: full)
1,"closed logfile, bytes written: 234577"
1,[logger] /fs/microsd/log/sess101/log103.ulg
1,Opened full log file: /fs/microsd/log/sess101/log103.ulg
1,Disarmed by RC (switch)
1,"closed logfile, bytes written: 233093"
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/sess101/log104.ulg
1,Opened full log file: /fs/microsd/log/sess101/log104.ulg
1,Disarmed by RC (switch)
1,Armed by RC (switch)
1,Start file log (type: full)
1,"closed logfile, bytes written: 210147"
1,[logger] /fs/microsd/log/sess101/log105.ulg
1,Opened full log file: /fs/microsd/log/sess101/log105.ulg
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
1,init serial /dev/ttyS3 @ 921600 baud
1,Starting CDC/ACM autostart
1,logger started (mode=all)
1,"Node ID 1, bitrate 1000000"
1,u-blox protocol version: 27.11
1,u-blox module: ZED-F9P
1,u-blox firmware version: HPG 1.12
1,u-blox protocol version: 27.11
1,u-blox module: ZED-F9P
2,Preflight: GPS Horizontal Pos Error too high
2,Preflight: GPS Horizontal Pos Drift too high
1,Kill engaged
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
1,Kill disengaged
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/2025-08-10/09_20_09.ulg
1,Opened full log file: /fs/microsd/log/2025-08-10/09_20_09.ulg
1,Takeoff detected
2,Disarming denied: not landed
2,Kill engaged
2,Preflight Fail: Flight termination active
1,Landing detected
1,Disarmed by kill-switch
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
1,"closed logfile, bytes written: 826500"
2,Preflight Fail: Flight termination active
1,Kill disengaged
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/2025-08-10/09_21_12.ulg
1,Opened full log file: /fs/microsd/log/2025-08-10/09_21_12.ulg
1,Takeoff detected
2,Kill engaged
2,Preflight Fail: Flight termination active
2,invalid setpoints
2,Failsafe: stop and wait
2,Failsafe activated: entering Hold for 5 seconds
2,Preflight Fail: Flight termination active
1,Disarmed by kill-switch
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
1,"closed logfile, bytes written: 863184"
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight: GPS Speed Accuracy too low
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
1,Kill disengaged
1,Armed by RC (switch)
1,Start file log (type: full)
1,[logger] /fs/microsd/log/2025-08-10/09_22_20.ulg
1,Opened full log file: /fs/microsd/log/2025-08-10/09_22_20.ulg
1,DECODED_SIZE:5 SAVED_SIZE:-1
1,selected parameter default file /fs/mtd_params
1,importing from '/fs/mtd_params'
1,"BSON document size 2973 bytes, decoded 2973 bytes (INT32:63, FLOAT:82)"
1,selected parameter backup file /fs/microsd/parameters_backup.bson
