label,log_text
2,Using non-standard baudrate: 420000
1,Armed by RC (switch)
1,init serial /dev/ttyS3 @ 921600 baud
1,[logger] /fs/microsd/log/2025-08-10/09_20_09.ulg
1,"mode: Normal, data rate: 100000 B/s on udp port 14550 remote port 14550"
1,selected parameter backup file /fs/microsd/parameters_backup.bson
1,Starting mavlink on /dev/ttyACM0 (SYS_USB_AUTO=2)
1,"Failed to init INA238 on bus 2, but will try again periodically."
1,Takeoff detected
2,Preflight Fail: height estimate not stable
2,Low battery
1,Armed by RC switch
1,Connection to ground station lost
1,u-blox protocol version: 32.01
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Kill switch engaged
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 921600B"
1,Armed by RC switch
1,importing from '/fs/mtd_params'
1,Starting CDC/ACM autostart
1,"0 (396321) EST:0 offset: [0.242, 0.340, -0.233]->[0.244, 0.351, -0.233] (full [0.318, 0.718, -0.1"
1,Takeoff detected
1,Landing detected
1,Armed by RC
1,Landing detected
1,Armed by RC
1,Armed by RC
1,Takeoff detected
1,Connection to ground station lost
1,Start file log (type: full)
1,Opened full log file: /fs/microsd/log/2025-08-02/12_02_15.ulg
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS1 @ 57600B"
3,couldn't start parameter count: -2
2,Critical battery
1,Takeoff detected
1,exiting channel 2
2,Failsafe activated
1,Opened full log file: /fs/microsd/log/2025-08-09/09_51_44.ulg
2,Preflight Fail: No CPU and RAM load information
1,IO FW CRC match
2,Preflight Fail: Found 0 compass (required: 1)
1,u-blox protocol version: 27.50
1,importing from '/fs/mtd_params'
3,get: param 65535 invalid
2,"no gyro selected, using sensor_gyro_fifo:0 4325386"
2,Arm stick gesture disabled if arm switch in use
3,Emergency battery level
1,Opened full log file: /fs/microsd/log/2025-08-10/07_37_47.ulg
1,Takeoff detected
1,"Node ID 1, bitrate 1000000"
1,"closed logfile, bytes written: 1135551"
2,Disarming denied: not landed
1,[logger] /fs/microsd/log/2025-08-09/15_26_11.ulg
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 57600B"
3,Parameter MAV_2_UDP_PRT not found.
2,CAUTION: Avionics Power low:   4.80 Volt
1,"mode: Onboard, data rate: 46080 B/s on /dev/ttyS2 @ 921600B"
1,"0 (396825) EST:1 offset: [0.205, 0.048, -0.226]->[0.189, 0.048, -0.226] (full [0.064, 0.059, -0.2"
3,SET_MESSAGE_INTERVAL requested param3 not supported.
1,"roll = -0.0229, pitch = -0.0220, yaw = -0.0072"
1,u-blox firmware version: HPG 1.32
1,u-blox module: ZED-F9P
1,Mixer: /etc/mixers/quad_x.main.mix on /dev/pwm_output0
2,[timesync] RTT too high for timesync: 13 ms (sender: 240)
1,[logger] /fs/microsd/log/2025-06-07/09_16_50.ulg
