label,log_text
1,Stopping mavlink shell
2,GNSS Fix2 msg detected for ch 0; disabling Fix msg for this node
3,"param import failed (-1) attempt 2, retrying"
3,get: param 65535 invalid
2,Preflight Fail: velocity estimate error
3,get: param 65535 invalid
1,"1 (527625) EST:0 offset: [0.038, 0.188, -0.042]->[0.035, 0.183, -0.040] (full [-0.017, 0.107, -0."
1,Armed by RC
1,Armed by RC switch
1,data manager file '/fs/microsd/dataman' size is 128528 bytes
2,Disarming denied: not landed
1,Allocated DMA UP Timer Index 0
2,Already running on bus 1
1,synchronized with time offset 1754588216774882us
2,RTT too high for timesync: 13 ms
1,Armed by external command
3,failed to initialize mtd driver
2,Maximum distance from home reached (400.00000)
1,[logger] /fs/microsd/log/2025-08-06/13_18_43.ulg
2,Failsafe activated
2,Preflight Fail: Flight termination active
1,Armed by RC switch
1,FF Systemloader V.1.3.0
3,couldn't start parameter count: -2
1,"mode: Onboard, data rate: 46080 B/s on /dev/ttyS3 @ 921600B"
2,"no gyro selected, using sensor_gyro_fifo:0 4325386"
3,Parameter MAV_2_REMOTE_PRT not found.
1,Pilot took over using sticks
1,IO FW CRC match
2,RTT too high for timesync: 17 ms
1,u-blox firmware version: SPG 5.10
3,Battery 2: over voltage.
1,Start file log (type: full)
3,couldn't start parameter count: -2
1,Takeoff detected
1,Airspeed sensor Nr. 1 ASPD_SCALE updated: 1.0000 --> 0.9993
2,Preflight Fail: Yaw estimate error
3,"vehicle_command_ack lost, generation 21 -> 26"
1,Disarmed by auto preflight disarming
2,Preflight Fail: Kill switch engaged
2,Preflight Fail: Flight termination active
1,"mode: Normal, data rate: 1200 B/s on /dev/ttyS5 @ 115200B"
1,Opened full log file: /fs/microsd/log/2025-08-08/07_10_09.ulg
1,"param auto save unavailable (-1), retrying.."
1,vspeed:    OK
3,SET_MESSAGE_INTERVAL requested param3 not supported.
2,Preflight Fail: Kill switch engaged
3,bmi055: no instance started (no device on bus?)
1,logger started (mode=all)
1,FlightTaskAuto.cpp L616
1,INFO: Send byte: 0
1,Start file log (type: full)
3,get: param 65535 invalid
1,checks canarm false
1,"Mission #3 loaded, 6 WPs"
2,"no gyro selected, using sensor_gyro_fifo:0 4325386"
1,ACC 0 (4259850) offset committed: [0.222 0.409 0.017]->[0.082 0.215 0.132])
1,successfully opened UART port /dev/ttyS2
1,logger started (mode=all)
1,"1 (8944643) EST:0 offset: [0.069, -0.013, -0.102]->[0.063, -0.015, -0.102] (full [-0.033, -0.049,"
1,"BSON document size 2747 bytes, decoded 2747 bytes (INT32:58, FLOAT:77)"
1,importing from '/fs/mtd_params'
3,driver start failed
3,SET_MESSAGE_INTERVAL requested param3 not supported.
3,SET_MESSAGE_INTERVAL requested param3 not supported.
3,failed to get CAL_GYRO3_ID
3,couldn't start parameter count: -2
2,"no gyro selected, using sensor_gyro_fifo:0 2490402"
3,unknown param ID: 1011
1,Start file log (type: full)
1,[logger] /fs/microsd/log/2025-08-07/08_09_27.ulg
2,RTT too high for timesync: 19 ms
1,Armed by RC
3,bmi088: no instance started (no device on bus?)
1,selected parameter backup file /fs/microsd/parameters_backup.bson
1,[logger] /fs/microsd/log/2025-07-09/19_48_26.ulg
1,start.......
2,Preflight Fail: position estimate error
1,try baud 230400
1,Opened full log file: /fs/microsd/log/2025-08-09/17_10_16.ulg
2,Preflight Fail: Kill switch engaged
1,Kill disengaged
3,get: param 65535 invalid
1,IO FW CRC match
2,hmc5883: no instance started (no device on bus?)
3,parameter export to /fs/mtd_params failed (-1) attempt 3
3,mtd_partition failed. offset=32 nblocks=0
1,[logger] /fs/microsd/log/2025-08-09/15_26_11.ulg
1,"successfully created rt/fmu/out/vehicle_odometry data writer, topic id: 264"
1,RTL: start return at 1005 m (1 m above destination)
2,Arming denied: Resolve system health failures first
